player,nation,pos,squad,comp,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save%,w,d,l,cs,cs%,pkatt,pka,pksv,pkm,pk_save%
Fernando,NGA,GK,Almería,La Liga,32,1990,37,37,3285,36.5,61.0,1.67,193.0,132.0,70.5,11,8.0,18.0,4.0,10.8,6.0,4.0,1.0,1.0,20.0
Vincenzo Fiorillo,AUT,GK,Salernitana,Serie A,32,1990,1,1,90,1.0,2.0,2.0,4.0,2.0,50.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Flekken,ESP,GK,Freiburg,Bundesliga,29,1993,34,34,3060,34.0,44.0,1.29,150.0,106.0,74.0,17,8.0,9.0,13.0,38.2,6.0,5.0,0.0,1.0,0.0
Yahia Fofana,CHI,GK,Angers,Ligue 1,21,2000,11,11,990,11.0,19.0,1.73,54.0,35.0,66.7,3,1.0,7.0,1.0,9.1,2.0,1.0,1.0,0.0,50.0
Fraser Forster,ARG,GK,Tottenham,Premier League,34,1988,14,13,1215,13.5,24.0,1.78,55.0,30.0,60.0,5,3.0,5.0,3.0,23.1,3.0,2.0,1.0,0.0,33.3
Gauthier Gallon,ESP,GK,Troyes,Ligue 1,29,1993,30,30,2667,29.6,65.0,2.19,177.0,114.0,66.1,3,9.0,18.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
Joan García,ESP,GK,Espanyol,La Liga,21,2001,1,1,90,1.0,3.0,3.0,4.0,1.0,50.0,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Paulo Gazzaniga,ESP,GK,Girona,La Liga,30,1992,28,28,2520,28.0,37.0,1.32,125.0,87.0,73.6,11,8.0,9.0,4.0,14.3,6.0,4.0,1.0,1.0,20.0
David de Gea,ENG,GK,Manchester Utd,Premier League,31,1990,38,38,3420,38.0,43.0,1.13,142.0,99.0,71.1,23,6.0,9.0,17.0,44.7,3.0,2.0,1.0,0.0,33.3
Rafał Gikiewicz,ESP,GK,Augsburg,Bundesliga,34,1987,23,23,2070,23.0,41.0,1.78,136.0,93.0,70.6,8,3.0,12.0,5.0,21.7,4.0,1.0,2.0,1.0,66.7
David Gil,ARG,GK,Cádiz,La Liga,28,1994,4,4,360,4.0,5.0,1.25,23.0,18.0,82.6,1,1.0,2.0,1.0,25.0,1.0,1.0,0.0,0.0,0.0
Pierluigi Gollini,ESP,GK,Fiorentina,Serie A,27,1995,3,3,270,3.0,2.0,0.67,8.0,6.0,75.0,1,2.0,0.0,2.0,66.7,0.0,0.0,0.0,0.0,0.0
Pierluigi Gollini,PAR,GK,Napoli,Serie A,27,1995,4,4,360,4.0,4.0,1.0,16.0,12.0,75.0,2,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0
