player,nation,pos,squad,comp,age,born,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp
Agustín Álvarez Martínez,URU,FW,Sassuolo,Serie A,21,2001,4.1,68.0,84.0,81.0,942.0,179.0,43.0,52.0,82.7,13.0,17.0,76.5,6.0,8.0,75.0,1,0.4,0.3,0.6,2.0,4.0,2.0,0.0,6.0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,27,1995,25.9,1123.0,1392.0,80.7,23716.0,9040.0,357.0,404.0,88.4,596.0,671.0,88.8,163.0,287.0,56.8,1,1.1,0.8,-0.1,14.0,137.0,11.0,4.0,152.0
Ibrahim Amadou,FRA,MF,Angers,Ligue 1,29,1993,4.7,161.0,190.0,84.7,3021.0,1234.0,51.0,56.0,91.1,93.0,99.0,93.9,13.0,25.0,52.0,0,0.1,0.0,-0.1,1.0,4.0,0.0,0.0,5.0
Selim Amallah,MAR,MF,Valladolid,La Liga,25,1996,3.0,63.0,83.0,75.9,1030.0,268.0,30.0,38.0,78.9,23.0,30.0,76.7,6.0,8.0,75.0,1,0.3,0.2,0.7,3.0,7.0,2.0,0.0,10.0
Daniel Amartey,GHA,DF,Leicester City,Premier League,27,1994,17.9,1015.0,1114.0,91.1,17506.0,6591.0,442.0,473.0,93.4,498.0,526.0,94.7,62.0,91.0,68.1,0,0.5,0.4,-0.5,5.0,58.0,1.0,0.0,66.0
Amath,SEN,FW,Mallorca,La Liga,26,1996,13.6,215.0,299.0,71.9,2692.0,708.0,147.0,174.0,84.5,41.0,64.0,64.1,9.0,19.0,47.4,0,0.8,0.6,-0.8,2.0,13.0,5.0,3.0,16.0
Jordan Amavi,FRA,DF,Getafe,La Liga,28,1994,2.2,51.0,96.0,53.1,779.0,372.0,28.0,39.0,71.8,18.0,36.0,50.0,3.0,11.0,27.3,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0
Lukáš Ambros,CZE,MF,Wolfsburg,Bundesliga,18,2004,0.2,3.0,3.0,100.0,43.0,4.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelvin Amian,FRA,DF,Spezia,Serie A,24,1998,26.3,830.0,1110.0,74.8,13341.0,5833.0,414.0,481.0,86.1,324.0,419.0,77.3,59.0,131.0,45.0,1,2.3,2.2,-1.3,18.0,80.0,19.0,10.0,102.0
Bruno Amione,ARG,DF,Hellas Verona,Serie A,20,2002,0.6,11.0,16.0,68.8,167.0,40.0,6.0,6.0,100.0,5.0,7.0,71.4,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
